sectionId,collapsed,postDate,expiryDate,oldStatus,placeInStructure,eagerLoadInfo,id,tempId,draftId,revisionId,isProvisionalDraft,uid,siteSettingsId,fieldLayoutId,enabled,archived,siteId,title,slug,uri,dateCreated,dateUpdated,dateLastMerged,dateDeleted,deletedWithOwner,trashed,forceSave,fieldId,sortOrder,canonicalId,cpEditUrl,isDraft,isRevision,isUnpublishedDraft,ref,status,structureId,url,primaryOwnerId,ownerId,authorId,authorIds,typeId,docAddress,docProfession,docPhone,docStreet,docZipCode,docCity,docCanton,linkUrl,googleUrl,onedocUrl,crmStatus,zuweisung,zuweisungText
4,,2025-03-04T16:45:00+01:00,,live,,,312842,,,,,c80aa6f4-9c05-4f9f-abd0-e68e1d47210c,312842,,1,,1,"Orthopädie Appenzell",orthopädie-appenzell,,2025-03-04T16:45:39+01:00,2025-03-06T21:32:48+01:00,,,,,,,,312842,https://crm.ddev.site/admin/entries/groupPractices/312842-orthopädie-appenzell,,,,groupPractices/orthopädie-appenzell,live,,,,,1,[1],1,"Schäfligasse 12, 9050 Appenzell","Chirurgie, Orthopädische Chirurgie","071 780 09 25","Schäfligasse 12",9050,Appenzell,"Appenzell Innerrhoden","{""value"":""http:\/\/www.orthopaedie-appenzell.ch\/"",""type"":""url""}","{""value"":""https:\/\/www.google.ch\/search?q=Orthopädie+Appenzell+Appenzell"",""type"":""url""}","{""value"":""https:\/\/www.onedoc.ch\/de\/gruppenpraxis\/appenzell\/elfm\/orthopadie-appenzell"",""type"":""url""}",new,,
4,,2025-03-04T16:45:00+01:00,,live,,,312840,,,,,02a113e5-f75e-4461-aa7a-0ef09080de2c,312840,,1,,1,"Gemeinschaftspraxis Sonnhalde",gemeinschaftspraxis-sonnhalde,,2025-03-04T16:45:39+01:00,2025-03-06T21:32:48+01:00,,,,,,,,312840,https://crm.ddev.site/admin/entries/groupPractices/312840-gemeinschaftspraxis-sonnhalde,,,,groupPractices/gemeinschaftspraxis-sonnhalde,live,,,,,1,[1],1,"Sonnhalde 2, 9050 Appenzell","Allgemeine Innere Medizin, Hausarztmedizin (Allgemeinmedizin)","071 787 41 41","Sonnhalde 2",9050,Appenzell,"Appenzell Innerrhoden",,"{""value"":""https:\/\/www.google.ch\/search?q=Gemeinschaftspraxis+Sonnhalde+Appenzell"",""type"":""url""}","{""value"":""https:\/\/www.onedoc.ch\/de\/gruppenpraxis\/appenzell\/ele6\/gemeinschaftspraxis-sonnhalde"",""type"":""url""}",new,,
4,,2025-03-04T16:45:00+01:00,,live,,,312838,,,,,a607ecf6-8201-43c3-b447-1245e8350e36,312838,,1,,1,"Arztpraxis Bären",arztpraxis-bären,,2025-03-04T16:45:39+01:00,2025-03-06T21:32:48+01:00,,,,,,,,312838,https://crm.ddev.site/admin/entries/groupPractices/312838-arztpraxis-bären,,,,groupPractices/arztpraxis-bären,live,,,,,1,[1],1,"Dorfstrasse 17, 9413 Oberegg","Allgemeine Innere Medizin","071 891 44 55","Dorfstrasse 17",9413,Oberegg,"Appenzell Innerrhoden","{""value"":""https:\/\/www.praxisbaeren.ch\/"",""type"":""url""}","{""value"":""https:\/\/www.google.ch\/search?q=Arztpraxis+Bären+Oberegg"",""type"":""url""}","{""value"":""https:\/\/www.onedoc.ch\/de\/gruppenpraxis\/oberegg\/elfa\/arztpraxis-baren"",""type"":""url""}",new,,
4,,2025-03-04T16:45:00+01:00,,live,,,312836,,,,,0c8f2919-55a5-4b41-a66f-b337161a6067,312836,,1,,1,"Praxis Marktgasse Altdorf",praxis-marktgasse-altdorf,,2025-03-04T16:45:39+01:00,2025-03-06T21:32:48+01:00,,,,,,,,312836,https://crm.ddev.site/admin/entries/groupPractices/312836-praxis-marktgasse-altdorf,,,,groupPractices/praxis-marktgasse-altdorf,live,,,,,1,[1],1,"Marktgasse 6, 6460 Altdorf UR","Allgemeine Innere Medizin, Dermatologie und Venerologie, Hausarztmedizin (Allgemeinmedizin)","041 870 75 75","Marktgasse 6",6460,"Altdorf UR",Uri,"{""value"":""https:\/\/www.sanacare.ch\/gruppenpraxen\/standorte\/sanacare-praxis-marktgasse\/"",""type"":""url""}","{""value"":""https:\/\/www.google.ch\/search?q=Praxis+Marktgasse+Altdorf+Altdorf+UR"",""type"":""url""}","{""value"":""https:\/\/www.onedoc.ch\/de\/gruppenpraxis\/altdorf\/eoef\/praxis-marktgasse-altdorf"",""type"":""url""}",new,,
4,,2025-03-04T16:45:00+01:00,,live,,,312833,,,,,81e866af-72c7-4bcb-9936-e0c2b9e8faef,312833,,1,,1,"Hausarztpraxis Bürglen",hausarztpraxis-bürglen,,2025-03-04T16:45:39+01:00,2025-03-06T21:32:48+01:00,,,,,,,,312833,https://crm.ddev.site/admin/entries/groupPractices/312833-hausarztpraxis-bürglen,,,,groupPractices/hausarztpraxis-bürglen,live,,,,,1,[1],1,"Klausenstrasse 138, 6463 Bürglen UR","Allgemeine Innere Medizin, Tropen- und Reisemedizin","041 871 00 30","Klausenstrasse 138",6463,"Bürglen UR",Uri,"{""value"":""https:\/\/www.praxisbuerglen.ch\/"",""type"":""url""}","{""value"":""https:\/\/www.google.ch\/search?q=Hausarztpraxis+Bürglen+Bürglen+UR"",""type"":""url""}","{""value"":""https:\/\/www.onedoc.ch\/de\/gruppenpraxis\/burglen\/evid\/hausarztpraxis-burglen"",""type"":""url""}",new,,
4,,2025-03-04T16:45:00+01:00,,live,,,312831,,,,,bf2bd71e-e6c9-4d27-b488-e495d253c64d,312831,,1,,1,"Hausarztpraxis Andermatt",hausarztpraxis-andermatt,,2025-03-04T16:45:39+01:00,2025-03-06T21:32:48+01:00,,,,,,,,312831,https://crm.ddev.site/admin/entries/groupPractices/312831-hausarztpraxis-andermatt,,,,groupPractices/hausarztpraxis-andermatt,live,,,,,1,[1],1,"Gotthardstrasse 22, 6490 Andermatt","Allgemeine Innere Medizin","041 887 19 77","Gotthardstrasse 22",6490,Andermatt,Uri,"{""value"":""https:\/\/www.praxisandermatt.ch\/"",""type"":""url""}","{""value"":""https:\/\/www.google.ch\/search?q=Hausarztpraxis+Andermatt+Andermatt"",""type"":""url""}","{""value"":""https:\/\/www.onedoc.ch\/de\/gruppenpraxis\/andermatt\/evic\/hausarztpraxis-andermatt"",""type"":""url""}",new,,
4,,2025-03-04T16:45:00+01:00,,live,,,312829,,,,,9a11249f-1fb3-4c06-8df8-74855a2e6f57,312829,,1,,1,"Gruppenpraxis Dr. Hofmann / Dr. Lechmann-Sticker",gruppenpraxis-dr-hofmann-dr-lechmann-sticker,,2025-03-04T16:45:39+01:00,2025-03-06T21:32:48+01:00,,,,,,,,312829,https://crm.ddev.site/admin/entries/groupPractices/312829-gruppenpraxis-dr-hofmann-dr-lechmann-sticker,,,,groupPractices/gruppenpraxis-dr-hofmann-dr-lechmann-sticker,live,,,,,1,[1],1,"Hellgasse 3, 6460 Altdorf UR",Pädiatrie,"041 870 88 88","Hellgasse 3",6460,"Altdorf UR",Uri,"{""value"":""https:\/\/kinderarzturi.ch\/"",""type"":""url""}","{""value"":""https:\/\/www.google.ch\/search?q=Gruppenpraxis+Dr.+Hofmann+\/+Dr.+Lechmann-Sticker+Altdorf+UR"",""type"":""url""}","{""value"":""https:\/\/www.onedoc.ch\/de\/gruppenpraxis\/altdorf\/evia\/gruppenpraxis-dr-hofmann-dr-lechmann-sticker"",""type"":""url""}",new,,
4,,2025-03-04T16:45:00+01:00,,live,,,312827,,,,,62e17dd0-f
dca-4c23-b3e0-77949c814c54,312827,,1,,1,"Gruppenpraxis Dr. Fabris / Dr. Knoll",gruppenpraxis-dr-fabris-dr-knoll,,2025-03-04T16:45:39+01:00,2025-03-06T21:32:48+01:00,,,,,,,,312827,https://crm.ddev.site/admin/entries/groupPractices/312827-gruppenpraxis-dr-fabris-dr-knoll,,,,groupPractices/gruppenpraxis-dr-fabris-dr-knoll,live,,,,,1,[1],1,"Adlergartenstrasse 15, 6467 Schattdorf","Allgemeine Innere Medizin","041 870 66 71","Adlergartenstrasse 15",6467,Schattdorf,Uri,"{""value"":""https:\/\/www.arztpraxisfabris.ch\/team"",""type"":""url""}","{""value"":""https:\/\/www.google.ch\/search?q=Gruppenpraxis+Dr.+Fabris+\/+Dr.+Knoll+Schattdorf"",""type"":""url""}","{""value"":""https:\/\/www.onedoc.ch\/de\/gruppenpraxis\/schattdorf\/evif\/gruppenpraxis-dr-fabris-dr-knoll"",""type"":""url""}",new,,
4,,2025-03-04T16:45:00+01:00,,live,,,312825,,,,,164ecdc5-fb42-45d2-8816-ebd47b80c799,312825,,1,,1,"Centramed Altdorf",centramed-altdorf,,2025-03-04T16:45:39+01:00,2025-03-06T21:32:48+01:00,,,,,,,,312825,https://crm.ddev.site/admin/entries/groupPractices/312825-centramed-altdorf,,,,groupPractices/centramed-altdorf,live,,,,,1,[1],1,"Dätwylerstrasse 15, 6460 Altdorf UR","Allgemeine Innere Medizin","041 875 00 25","Dätwylerstrasse 15",6460,"Altdorf UR",Uri,"{""value"":""https:\/\/www.sanacare.ch\/gruppenpraxen\/standorte\/sanacare-altdorf-daetwyler-areal\/"",""type"":""url""}","{""value"":""https:\/\/www.google.ch\/search?q=Centramed+Altdorf+Altdorf+UR"",""type"":""url""}","{""value"":""https:\/\/www.onedoc.ch\/de\/gruppenpraxis\/altdorf\/evig\/centramed-altdorf"",""type"":""url""}",new,,
